graph,n_edges,spectral_gap,clustering,frustration,optimal_welfare,sa_mean_welfare,sa_std_welfare,sa_approx_ratio,sa_coincidence_rate,sa_mean_cooperation,sa_mean_logical_entropy,sqa_mean_welfare,sqa_std_welfare,sqa_approx_ratio,sqa_coincidence_rate,sqa_mean_cooperation,sqa_mean_logical_entropy,eq_welfare,eq_approx_ratio,eq_coincidence,eq_ground_state_overlap,eq_cooperation,eq_logical_entropy
complete_K10,45,1.1111111111111107,1.0,1.0,135.0,132.3,15.430194719798877,0.98,0.97,0.97,0.0,135.0,0.0,1.0,1.0,1.0,0.0,135.0,1.0,true,1.0,1.0,0.0
bipartite_K55,25,0.9999999999999998,0.0,0.0,75.0,75.0,0.0,1.0,1.0,1.0,0.0,75.0,0.0,1.0,1.0,1.0,0.0,75.0,1.0,true,1.0,1.0,0.0
