p,replication,n_edges,spectral_gap,clustering,frustration,optimal_welfare,sa_mean_welfare,sa_std_welfare,sa_approx_ratio,sa_coincidence_rate,sa_mean_cooperation,sa_mean_logical_entropy,sqa_mean_welfare,sqa_std_welfare,sqa_approx_ratio,sqa_coincidence_rate,sqa_mean_cooperation,sqa_mean_logical_entropy,eq_welfare,eq_approx_ratio,eq_coincidence,eq_ground_state_overlap,eq_cooperation,eq_logical_entropy
0.4,3,23,0.5474950385016093,0.5052631578947369,1.0,69.0,69.0,0.0,1.0,1.0,1.0,0.0,69.0,0.0,1.0,1.0,1.0,0.0,69.0,1.0,true,1.0,1.0,0.0
0.4,4,26,0.5373337615047838,0.5526315789473685,1.0,78.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,1.0,true,1.0,1.0,0.0
0.4,5,18,0.0,0.4838709677419355,1.0,54.0,54.0,0.0,1.0,0.59,0.9590000000000001,0.0738,54.0,0.0,1.0,0.34,0.934,0.11879999999999999,54.0,1.0,true,1.0,1.0,0.0
0.4,6,16,0.2723121166814326,0.4666666666666667,1.0,48.0,48.0,0.0,1.0,1.0,1.0,0.0,48.0,0.0,1.0,1.0,1.0,0.0,48.0,1.0,true,1.0,1.0,0.0
0.4,7,14,0.20656665943374183,0.2903225806451613,1.0,42.0,42.0,0.0,1.0,1.0,1.0,0.0,42.0,0.0,1.0,1.0,1.0,0.0,42.0,1.0,true,1.0,1.0,0.0
0.4,8,20,0.37241922691737994,0.4090909090909091,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.4,9,17,0.3554583635976758,0.2727272727272727,1.0,51.0,51.0,0.0,1.0,1.0,1.0,0.0,51.0,0.0,1.0,1.0,1.0,0.0,51.0,1.0,true,1.0,1.0,0.0
0.4,10,22,0.46009644283290524,0.4642857142857143,1.0,66.0,66.0,0.0,1.0,1.0,1.0,0.0,66.0,0.0,1.0,1.0,1.0,0.0,66.0,1.0,true,1.0,1.0,0.0
0.4,11,14,0.2530187694489274,0.18181818181818182,1.0,42.0,42.0,0.0,1.0,1.0,1.0,0.0,42.0,0.0,1.0,1.0,1.0,0.0,42.0,1.0,true,1.0,1.0,0.0
0.4,12,20,0.5055357172472372,0.5131578947368421,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.4,13,19,0.4830983176317355,0.3620689655172414,1.0,57.0,57.0,0.0,1.0,1.0,1.0,0.0,57.0,0.0,1.0,1.0,1.0,0.0,57.0,1.0,true,1.0,1.0,0.0
0.4,14,13,0.42628818430955684,0.0967741935483871,1.0,39.0,39.0,0.0,1.0,1.0,1.0,0.0,39.0,0.0,1.0,1.0,1.0,0.0,39.0,1.0,true,1.0,1.0,0.0
0.4,15,13,0.20023855270660523,0.12,1.0,39.0,39.0,0.0,1.0,1.0,1.0,0.0,39.0,0.0,1.0,1.0,1.0,0.0,39.0,1.0,true,1.0,1.0,0.0
0.4,16,18,0.4091463596355281,0.4444444444444444,1.0,54.0,54.0,0.0,1.0,1.0,1.0,0.0,54.0,0.0,1.0,1.0,1.0,0.0,54.0,1.0,true,1.0,1.0,0.0
0.4,17,16,0.3790201215853211,0.21951219512195122,1.0,48.0,48.0,0.0,1.0,1.0,1.0,0.0,48.0,0.0,1.0,1.0,1.0,0.0,48.0,1.0,true,1.0,1.0,0.0
0.4,18,23,0.5834053926901517,0.5368421052631579,1.0,69.0,69.0,0.0,1.0,1.0,1.0,0.0,69.0,0.0,1.0,1.0,1.0,0.0,69.0,1.0,true,1.0,1.0,0.0
0.4,19,23,0.6038396485475018,0.4482758620689655,1.0,69.0,69.0,0.0,1.0,1.0,1.0,0.0,69.0,0.0,1.0,1.0,1.0,0.0,69.0,1.0,true,1.0,1.0,0.0
